MD,Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest,Date2,Date3,Settle_3,Cost_o_C,Month,Day,M_D,YMD,MD,Slope
201012,2010-12-21,600.25,604.0,598.0,602.25,93069.0,733741.0,2010-12-21,20101221,614.25,12.0,12,21,201012,20101221,201012,1
201101,2011-01-24,657.0,658.25,650.5,655.25,181672.0,647948.0,2011-01-24,20110124,669.5,14.25,1,24,201101,20110124,201101,1
201102,2011-02-22,698.5,699.0,679.75,679.75,156484.0,256607.0,2011-02-22,20110222,694.5,14.75,2,22,201102,20110222,201102,1
201103,2011-03-21,689.0,689.0,676.0,686.5,248242.0,607214.0,2011-03-21,20110321,645.5,-41.0,3,21,201103,20110321,201103,0
201104,2011-04-21,738.0,741.0,729.5,737.25,118858.0,261018.0,2011-04-21,20110421,704.25,-33.0,4,21,201104,20110421,201104,0
201105,2011-05-20,744.0,765.0,743.25,759.5,156387.0,597557.0,2011-05-20,20110520,666.5,-93.0,5,20,201105,20110520,201105,0
201106,2011-06-21,716.5,718.5,703.0,707.5,132757.0,311374.0,2011-06-21,20110621,680.25,-27.25,6,21,201106,20110621,201106,0
201107,2011-07-22,675.0,691.0,673.25,690.0,59580.0,363739.0,2011-07-22,20110722,698.25,8.25,7,22,201107,20110722,201107,1
201108,2011-08-19,706.0,712.5,705.5,711.0,59927.0,153909.0,2011-08-19,20110819,738.0,27.0,8,19,201108,20110819,201108,1
201109,2011-09-22,682.0,682.0,647.5,650.0,146461.0,657297.0,2011-09-22,20110922,670.75,20.75,9,22,201109,20110922,201109,1
201110,2011-10-21,649.0,665.5,646.5,649.25,184340.0,558128.0,2011-10-21,20111021,665.5,16.25,10,21,201110,20111021,201110,1
201111,2011-11-21,610.0,611.25,593.25,597.75,167696.0,321122.0,2011-11-21,20111121,611.5,13.75,11,21,201111,20111121,201111,1
201112,2011-12-21,606.0,619.0,601.0,616.5,120327.0,534533.0,2011-12-21,20111221,631.75,15.25,12,21,201112,20111221,201112,1
201201,2012-01-24,619.5,636.0,614.5,630.25,220785.0,446482.0,2012-01-24,20120124,638.5,8.25,1,24,201201,20120124,201201,1
201202,2012-02-22,630.0,639.5,625.75,638.25,160347.0,205379.0,2012-02-22,20120222,644.25,6.0,2,22,201202,20120222,201202,1
201203,2012-03-21,647.25,651.0,641.5,642.0,134955.0,495774.0,2012-03-21,20120321,585.0,-57.0,3,21,201203,20120321,201203,0
201204,2012-04-23,613.25,622.5,610.25,622.5,74163.0,171266.0,2012-04-23,20120423,554.75,-67.75,4,23,201204,20120423,201204,0
201205,2012-05-21,638.25,644.5,628.75,633.0,130272.0,513939.0,2012-05-21,20120521,540.5,-92.5,5,21,201205,20120521,201205,0
201206,2012-06-21,610.0,611.5,586.5,586.5,158258.0,196760.0,2012-06-21,20120621,550.0,-36.5,6,21,201206,20120621,201206,0
201207,2012-07-23,823.0,824.0,795.25,814.0,74918.0,362034.0,2012-07-23,20120723,776.5,-37.5,7,23,201207,20120723,201207,0
